Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
15,2016,6,Madhya Pradesh,Tikamgarh,12868.0,68.98,46.54,26.75,5527.0,29.63,19.99,11.49,261.0,1.4,0.94,0.54,18656.0,67.47,38.78
15,2017,6,Madhya Pradesh,Tikamgarh,8357.0,67.85,32.4,22.02,3862.0,31.36,14.97,10.18,98.0,0.8,0.38,0.26,12317.0,47.76,32.46
16,2016,6,Madhya Pradesh,Chhatarpur,19351.0,60.93,47.59,30.56,12258.0,38.6,30.15,19.36,149.0,0.47,0.37,0.24,31758.0,78.11,50.16
16,2017,6,Madhya Pradesh,Chhatarpur,14565.0,56.32,36.43,22.97,11159.0,43.15,27.91,17.6,139.0,0.54,0.35,0.22,25863.0,64.69,40.79
17,2016,6,Madhya Pradesh,Panna,6844.0,59.08,27.56,18.34,4698.0,40.56,18.92,12.59,42.0,0.36,0.17,0.11,11584.0,46.65,31.03
17,2017,6,Madhya Pradesh,Panna,6615.0,59.26,28.52,16.05,4493.0,40.25,19.37,10.9,54.0,0.48,0.23,0.13,11162.0,48.12,27.08
18,2016,6,Madhya Pradesh,Rewa,23203.0,70.5,64.73,44.74,9556.0,29.03,26.66,18.43,155.0,0.47,0.43,0.3,32914.0,91.83,63.47
18,2017,6,Madhya Pradesh,Rewa,26124.0,68.44,72.97,50.6,11848.0,31.04,33.1,22.95,200.0,0.52,0.56,0.39,38172.0,106.63,73.94
19,2016,6,Madhya Pradesh,Sidhi,4442.0,69.37,26.68,19.36,1939.0,30.28,11.65,8.45,22.0,0.34,0.13,0.1,6403.0,38.46,27.91
19,2017,6,Madhya Pradesh,Sidhi,5350.0,70.27,32.23,22.98,2242.0,29.45,13.51,9.63,22.0,0.29,0.13,0.09,7614.0,45.87,32.71
20,2016,6,Madhya Pradesh,Satna,28693.0,65.53,81.57,54.5,14902.0,34.03,42.36,28.31,192.0,0.44,0.55,0.36,43787.0,124.48,83.17
20,2017,6,Madhya Pradesh,Satna,29067.0,65.31,83.15,47.57,15084.0,33.89,43.15,24.69,353.0,0.79,1.01,0.58,44504.0,127.32,72.83
21,2016,6,Madhya Pradesh,Shahdol,5649.0,64.5,32.03,26.39,3048.0,34.8,17.28,14.24,61.0,0.7,0.35,0.28,8758.0,49.66,40.91
21,2017,6,Madhya Pradesh,Shahdol,5425.0,63.18,30.84,25.46,3074.0,35.8,17.47,14.43,87.0,1.01,0.49,0.41,8586.0,48.8,40.29
22,2016,6,Madhya Pradesh,Gwalior,29640.0,72.28,143.91,107.26,10900.0,26.58,52.92,39.44,466.0,1.14,2.26,1.69,41006.0,199.09,148.39
22,2017,6,Madhya Pradesh,Gwalior,27042.0,67.41,139.54,104.35,12605.0,31.42,65.04,48.64,466.0,1.16,2.4,1.8,40113.0,206.99,154.79
23,2016,6,Madhya Pradesh,Shivpuri,19338.0,63.41,43.08,27.98,10580.0,34.69,23.57,15.31,579.0,1.9,1.29,0.84,30497.0,67.95,44.13
23,2017,6,Madhya Pradesh,Shivpuri,19577.0,59.27,42.33,25.25,13081.0,39.6,28.29,16.87,371.0,1.12,0.8,0.48,33029.0,71.42,42.6
