Dist Code,Year,State Code,State Name,Dist Name,NITROGEN KHARIF CONSUMPTION (tons),NITROGEN RABI CONSUMPTION (tons),PHOSPHATE KHARIF CONSUMPTION (tons),PHOSPHATE RABI CONSUMPTION (tons),POTASH KHARIF CONSUMPTION (tons),POTASH RABI CONSUMPTION (tons),TOTAL KHARIF CONSUMPTION (tons),TOTAL RABI CONSUMPTION (tons)
21,2017,6,Madhya Pradesh,Shahdol,3133.0,51.0,2292.0,36.0,2050.0,5234.0,1024.0,3352.0
22,2016,6,Madhya Pradesh,Gwalior,11400.0,189.0,18240.0,277.0,3613.0,15202.0,7287.0,25804.0
22,2017,6,Madhya Pradesh,Gwalior,9462.0,304.0,17580.0,162.0,5034.0,14800.0,7571.0,25313.0
23,2016,6,Madhya Pradesh,Shivpuri,5840.0,287.0,13498.0,292.0,4404.0,10531.0,6176.0,19966.0
23,2017,6,Madhya Pradesh,Shivpuri,5809.0,240.0,13768.0,131.0,7244.0,13293.0,5837.0,19736.0
24,2016,6,Madhya Pradesh,Guna,4359.0,15.0,14906.0,64.0,3871.0,8245.0,5777.0,20747.0
24,2017,6,Madhya Pradesh,Guna,3765.0,49.0,14762.0,45.0,4568.0,8382.0,6823.0,21630.0
25,2016,6,Madhya Pradesh,Datia,4308.0,23.0,11235.0,138.0,585.0,4916.0,3249.0,14622.0
25,2017,6,Madhya Pradesh,Datia,5557.0,81.0,15716.0,168.0,2009.0,7647.0,5781.0,21665.0
26,2016,6,Madhya Pradesh,Morena,11579.0,65.0,23132.0,171.0,2314.0,13958.0,6963.0,30266.0
26,2017,6,Madhya Pradesh,Morena,14178.0,143.0,20536.0,351.0,4662.0,18983.0,7496.0,28383.0
27,2016,6,Madhya Pradesh,Bhind,10004.0,48.0,18118.0,133.0,3004.0,13056.0,7761.0,26012.0
27,2017,6,Madhya Pradesh,Bhind,9872.0,64.0,18323.0,193.0,4342.0,14278.0,9944.0,28460.0
28,2016,6,Madhya Pradesh,Indore,15201.0,2350.0,26245.0,4601.0,10347.0,27898.0,12930.0,43776.0
28,2017,6,Madhya Pradesh,Indore,12326.0,1804.0,27269.0,3818.0,8357.0,22487.0,12113.0,43200.0
29,2016,6,Madhya Pradesh,Ratlam,15369.0,1449.0,19763.0,2240.0,8686.0,25504.0,8827.0,30830.0
29,2017,6,Madhya Pradesh,Ratlam,16586.0,2618.0,18798.0,2188.0,9670.0,28874.0,7440.0,28426.0
30,2016,6,Madhya Pradesh,Ujjain,13822.0,2159.0,32629.0,3262.0,13318.0,29299.0,15307.0,51198.0
30,2017,6,Madhya Pradesh,Ujjain,12156.0,2327.0,29874.0,3242.0,16797.0,31280.0,14159.0,47275.0
31,2016,6,Madhya Pradesh,Mandsaur,14185.0,2769.0,16261.0,2469.0,8615.0,25569.0,6093.0,24823.0
31,2017,6,Madhya Pradesh,Mandsaur,12742.0,2483.0,13231.0,1906.0,9511.0,24736.0,3661.0,18798.0
32,2016,6,Madhya Pradesh,Dewas,12162.0,1872.0,21731.0,2779.0,9536.0,23570.0,9115.0,33625.0
32,2017,6,Madhya Pradesh,Dewas,9930.0,1724.0,17750.0,1776.0,10111.0,21765.0,5517.0,25043.0
33,2016,6,Madhya Pradesh,Dhar,33049.0,3746.0,35559.0,4675.0,16986.0,53781.0,17814.0,58048.0
33,2017,6,Madhya Pradesh,Dhar,35285.0,5101.0,30811.0,2275.0,19474.0,59860.0,12943.0,46029.0
34,2016,6,Madhya Pradesh,Jhabua,14862.0,686.0,8381.0,147.0,4407.0,19955.0,2584.0,11112.0
34,2017,6,Madhya Pradesh,Jhabua,14247.0,1030.0,6927.0,184.0,4521.0,19798.0,1651.0,8762.0
35,2016,6,Madhya Pradesh,Khargone,32309.0,6488.0,19747.0,1601.0,16679.0,55476.0,9378.0,30726.0
35,2017,6,Madhya Pradesh,Khargone,38057.0,7968.0,22222.0,2093.0,19195.0,65220.0,9777.0,34092.0
36,2016,6,Madhya Pradesh,Khandwa,14159.0,2317.0,17627.0,1467.0,6660.0,23136.0,7217.0,26311.0
36,2017,6,Madhya Pradesh,Khandwa,16447.0,2581.0,14675.0,711.0,8374.0,27402.0,5981.0,21367.0
37,2016,6,Madhya Pradesh,Sehore,9993.0,397.0,34139.0,1179.0,8134.0,18524.0,14789.0,50107.0
37,2017,6,Madhya Pradesh,Sehore,13013.0,221.0,28009.0,565.0,11371.0,24605.0,11955.0,40529.0
38,2016,6,Madhya Pradesh,Raisen,13270.0,552.0,19772.0,180.0,11527.0,25349.0,9082.0,29034.0
38,2017,6,Madhya Pradesh,Raisen,17272.0,528.0,23567.0,348.0,15312.0,33112.0,8571.0,32486.0
39,2016,6,Madhya Pradesh,Vidisha,6091.0,134.0,23173.0,477.0,8338.0,14563.0,11186.0,34836.0
39,2017,6,Madhya Pradesh,Vidisha,7006.0,353.0,16622.0,447.0,10993.0,18352.0,9807.0,26876.0
40,2016,6,Madhya Pradesh,Betul,18232.0,738.0,13814.0,891.0,6717.0,25687.0,4077.0,18782.0
40,2017,6,Madhya Pradesh,Betul,20812.0,898.0,11829.0,654.0,6943.0,28653.0,3700.0,16183.0
41,2016,6,Madhya Pradesh,Rajgarh,15125.0,551.0,22974.0,1272.0,12362.0,28038.0,11852.0,36098.0
41,2017,6,Madhya Pradesh,Rajgarh,16005.0,610.0,19194.0,599.0,13875.0,30490.0,7626.0,27419.0
42,2016,6,Madhya Pradesh,Shajapur,8274.0,1176.0,13380.0,1206.0,13348.0,22798.0,8002.0,22588.0
42,2017,6,Madhya Pradesh,Shajapur,6224.0,1122.0,11357.0,1275.0,9666.0,17012.0,6182.0,18814.0
43,2016,6,Madhya Pradesh,Hoshangabad,15222.0,901.0,43767.0,1083.0,11321.0,27444.0,15630.0,60480.0
43,2017,6,Madhya Pradesh,Hoshangabad,22762.0,1271.0,41149.0,1549.0,20723.0,44756.0,14225.0,56923.0
44,2016,1,Andhra Pradesh,Srikakulam,29113.0,5554.0,7955.0,1678.0,9272.0,43939.0,3592.0,13225.0
44,2017,1,Andhra Pradesh,Srikakulam,27031.0,6761.0,11040.0,1699.0,9306.0,43098.0,4124.0,16863.0
45,2016,1,Andhra Pradesh,Visakhapatnam,15613.0,1733.0,6155.0,844.0,3126.0,20472.0,1203.0,8202.0
45,2017,1,Andhra Pradesh,Visakhapatnam,13848.0,1820.0,17040.0,1115.0,2930.0,18598.0,1122.0,19277.0
46,2016,1,Andhra Pradesh,East Godavari,41923.0,11506.0,64299.0,14735.0,15408.0,68837.0,25298.0,104332.0
46,2017,1,Andhra Pradesh,East Godavari,34321.0,13594.0,49925.0,14790.0,9887.0,57802.0,20975.0,85690.0
47,2016,1,Andhra Pradesh,West Godavari,46522.0,21042.0,81615.0,28914.0,24789.0,92353.0,40722.0,151251.0
47,2017,1,Andhra Pradesh,West Godavari,36800.0,19846.0,69391.0,27017.0,15176.0,71822.0,34402.0,130810.0
48,2016,1,Andhra Pradesh,Krishna,51780.0,7515.0,43140.0,14652.0,23721.0,83016.0,16592.0,74384.0
48,2017,1,Andhra Pradesh,Krishna,51562.0,11461.0,32967.0,9307.0,22895.0,85918.0,16210.0,58484.0
49,2016,1,Andhra Pradesh,Guntur,61470.0,7052.0,100381.0,18836.0,32063.0,100585.0,50610.0,169827.0
49,2017,1,Andhra Pradesh,Guntur,68623.0,6605.0,77220.0,14282.0,37040.0,112268.0,38019.0,129521.0
50,2016,1,Andhra Pradesh,S.P.S.Nellore,23354.0,6639.0,50705.0,11166.0,10796.0,40789.0,16367.0,78238.0
50,2017,1,Andhra Pradesh,S.P.S.Nellore,13826.0,3822.0,61644.0,13594.0,4654.0,22302.0,21293.0,96531.0
51,2016,1,Andhra Pradesh,Kurnool,77739.0,11977.0,60879.0,14187.0,51845.0,141561.0,40581.0,115647.0
51,2017,1,Andhra Pradesh,Kurnool,73543.0,12882.0,57372.0,10463.0,44370.0,130795.0,30966.0,98801.0
52,2016,1,Andhra Pradesh,Anantapur,25832.0,4781.0,16151.0,4888.0,15892.0,46505.0,11708.0,32747.0
52,2017,1,Andhra Pradesh,Anantapur,18014.0,5879.0,20274.0,6191.0,11215.0,35108.0,14912.0,41377.0
53,2016,1,Andhra Pradesh,Kadapa YSR,22592.0,4012.0,22677.0,5688.0,12786.0,39390.0,11221.0,39586.0
53,2017,1,Andhra Pradesh,Kadapa YSR,17814.0,5976.0,29347.0,6800.0,12268.0,36058.0,11858.0,48005.0
54,2016,1,Andhra Pradesh,Chittoor,17197.0,3473.0,19921.0,4118.0,6467.0,27137.0,9305.0,33344.0
54,2017,1,Andhra Pradesh,Chittoor,14898.0,3274.0,28422.0,5688.0,6085.0,24257.0,9875.0,43985.0
55,2016,20,Telangana,Hyderabad,14646.495067264577,2299.760513372032,15392.545506655584,2376.1179486947344,5656.113901345294,22602.35515695069,6433.417133530525,24202.084304819196
55,2017,20,Telangana,Hyderabad,14646.495067264577,2299.760513372032,15392.545506655584,2376.1179486947344,5656.113901345294,22602.35515695069,6433.417133530525,24202.084304819196
56,2016,20,Telangana,Nizamabad,47003.0,4247.0,54986.0,4326.0,13902.0,65152.0,14544.0,73856.0
56,2017,20,Telangana,Nizamabad,42880.0,4562.0,35456.0,4277.0,12141.0,59583.0,11782.0,51515.0
57,2016,20,Telangana,Medak,34434.0,1597.0,27339.0,1924.0,9186.0,45217.0,8611.0,37874.0
57,2017,20,Telangana,Medak,30796.0,938.0,10942.0,1884.0,5000.0,36734.0,3148.0,15974.0
58,2016,20,Telangana,Mahabubnagar,57778.0,1814.0,32809.0,2415.0,21491.0,81083.0,16476.0,51700.0
58,2017,20,Telangana,Mahabubnagar,36159.0,3211.0,19909.0,2172.0,16756.0,56126.0,9270.0,31351.0
59,2016,20,Telangana,Nalgonda,56892.0,7473.0,65496.0,8970.0,22012.0,86377.0,20710.0,95176.0
59,2017,20,Telangana,Nalgonda,48076.0,5641.0,31937.0,5992.0,16431.0,70148.0,15022.0,52951.0
60,2016,20,Telangana,Warangal,83197.0,9398.0,57118.0,10560.0,24381.0,116976.0,16803.0,84481.0
60,2017,20,Telangana,Warangal,3650.0,1382.0,11812.0,657.0,4318.0,9350.0,3818.0,16287.0
61,2016,20,Telangana,Khammam,52264.0,6319.0,40320.0,7008.0,23505.0,82088.0,16135.0,63463.0
61,2017,20,Telangana,Khammam,41782.0,8390.0,34731.0,6320.0,17701.0,67873.0,13664.0,54715.0
62,2016,20,Telangana,Karimnagar,78595.0,9071.0,74036.0,25178.0,22409.0,110075.0,19996.0,119210.0
62,2017,20,Telangana,Karimnagar,58996.0,5978.0,41733.0,4606.0,14292.0,79266.0,12707.0,59046.0
63,2016,20,Telangana,Adilabad,64589.0,6098.0,21187.0,1842.0,17434.0,88121.0,7176.0,30205.0
63,2017,20,Telangana,Adilabad,54539.0,5606.0,5109.0,664.0,10381.0,70526.0,3121.0,8894.0
65,2016,5,Karnataka,Kolar,6795.0,1528.0,4441.0,1583.0,4326.0,12649.0,3515.0,9539.0
65,2017,5,Karnataka,Kolar,7017.0,1433.0,7157.0,1907.0,3788.0,12238.0,4446.0,13510.0
66,2016,5,Karnataka,Tumkur,14851.0,2294.0,6434.0,2244.0,7562.0,24707.0,4763.0,13441.0
66,2017,5,Karnataka,Tumkur,14086.0,2433.0,10462.0,3913.0,6133.0,22652.0,7157.0,21532.0
67,2016,5,Karnataka,Mysore,21143.0,6495.0,10901.0,3964.0,12742.0,40380.0,6767.0,21632.0
67,2017,5,Karnataka,Mysore,20167.0,6554.0,14116.0,4028.0,9624.0,36345.0,6867.0,25011.0
68,2016,5,Karnataka,Mandya,21737.0,3475.0,17090.0,5130.0,7118.0,32330.0,6009.0,28229.0
68,2017,5,Karnataka,Mandya,19079.0,3103.0,29965.0,6196.0,5363.0,27545.0,8492.0,44653.0
69,2016,5,Karnataka,Hassan,26840.0,8625.0,6842.0,4188.0,15496.0,50961.0,6441.0,17471.0
69,2017,5,Karnataka,Hassan,23766.0,11085.0,9128.0,4354.0,12325.0,47176.0,6766.0,20248.0
70,2016,5,Karnataka,Shimoge,20888.0,7463.0,6905.0,3923.0,11071.0,39422.0,6360.0,17188.0
70,2017,5,Karnataka,Shimoge,19584.0,9464.0,9434.0,4913.0,10808.0,39856.0,6633.0,20980.0
71,2016,5,Karnataka,Chickmagalur,22036.0,13785.0,7786.0,5148.0,13293.0,49114.0,5814.0,18748.0
71,2017,5,Karnataka,Chickmagalur,20445.0,15072.0,8388.0,5257.0,12220.0,47737.0,5562.0,19207.0
72,2016,5,Karnataka,Chitradurga,15725.0,2328.0,4650.0,1210.0,7629.0,25682.0,4342.0,10202.0
72,2017,5,Karnataka,Chitradurga,9159.0,1500.0,5137.0,2108.0,5324.0,15983.0,3290.0,10535.0
73,2016,5,Karnataka,Bellary,52906.0,7537.0,16777.0,6432.0,28066.0,88509.0,11611.0,34820.0
73,2017,5,Karnataka,Bellary,33472.0,6345.0,37197.0,7146.0,19825.0,59642.0,17638.0,61981.0
74,2016,5,Karnataka,Dharwad,15904.0,1647.0,4836.0,1706.0,8060.0,25611.0,5228.0,11770.0
74,2017,5,Karnataka,Dharwad,12277.0,2117.0,3380.0,1535.0,5994.0,20388.0,2642.0,7557.0
75,2016,5,Karnataka,Belgaum,56661.0,17170.0,43438.0,17680.0,21990.0,95821.0,23053.0,84171.0
75,2017,5,Karnataka,Belgaum,44499.0,14876.0,48379.0,18388.0,18324.0,77699.0,20905.0,87672.0
76,2016,5,Karnataka,Bijapur,17092.0,2823.0,11965.0,3734.0,11325.0,31240.0,7290.0,22989.0
76,2017,5,Karnataka,Bijapur,14351.0,4081.0,13495.0,3280.0,9957.0,28389.0,6575.0,23350.0
77,2016,5,Karnataka,Bidar,7059.0,742.0,4799.0,1046.0,5145.0,12946.0,5867.0,11712.0
77,2017,5,Karnataka,Bidar,6694.0,1449.0,3581.0,939.0,4578.0,12721.0,3919.0,8439.0
78,2016,5,Karnataka,Raichur,47715.0,7351.0,18773.0,4108.0,25991.0,81057.0,13298.0,36179.0
78,2017,5,Karnataka,Raichur,41851.0,6994.0,38478.0,7104.0,24632.0,73477.0,20179.0,65761.0
79,2016,5,Karnataka,Gulbarga,15360.0,1510.0,10566.0,2398.0,14451.0,31321.0,9745.0,22709.0
79,2017,5,Karnataka,Gulbarga,14531.0,2283.0,4926.0,1015.0,12680.0,29494.0,2340.0,8281.0
80,2016,5,Karnataka,Dakshina Kannada,3397.0,2952.0,3508.0,4251.0,1753.0,8102.0,2727.0,10486.0
80,2017,5,Karnataka,Dakshina Kannada,3150.0,3457.0,4049.0,3981.0,1901.0,8508.0,2937.0,10967.0
81,2016,5,Karnataka,Uttara Kannada,6704.0,1751.0,1942.0,1101.0,2241.0,10696.0,1578.0,4621.0
81,2017,5,Karnataka,Uttara Kannada,7012.0,2534.0,1769.0,1311.0,2828.0,12374.0,1222.0,4302.0
82,2016,5,Karnataka,Kodagu,12320.0,7362.0,5196.0,4300.0,7414.0,27096.0,4354.0,13850.0
82,2017,5,Karnataka,Kodagu,13806.0,10738.0,5851.0,2812.0,8288.0,32832.0,3695.0,12358.0
83,2016,11,Tamil Nadu,Kancheepuram,6416.0,1155.0,10639.0,2279.0,2973.0,10544.0,3594.0,16512.0
83,2017,11,Tamil Nadu,Kancheepuram,4490.0,861.0,15679.0,3886.0,1823.0,7174.0,5773.0,25338.0
84,2016,11,Tamil Nadu,South Arcot Cuddalore,16182.0,4784.0,19743.0,6810.0,6900.0,27866.0,8287.0,34840.0
84,2017,11,Tamil Nadu,South Arcot Cuddalore,10666.0,5786.0,22631.0,7192.0,3847.0,20299.0,9719.0,39542.0
85,2016,11,Tamil Nadu,North Arcot Vellore,13923.0,3127.0,18363.0,4604.0,5545.0,22595.0,6792.0,29759.0
85,2017,11,Tamil Nadu,North Arcot Vellore,10140.0,3356.0,25105.0,4758.0,3362.0,16858.0,8449.0,38312.0
86,2016,11,Tamil Nadu,Salem,9700.0,4450.0,10156.0,5457.0,5430.0,19580.0,5724.0,21337.0
86,2017,11,Tamil Nadu,Salem,7022.0,4053.0,7316.0,8235.0,2833.0,13908.0,9688.0,25239.0
87,2016,11,Tamil Nadu,Coimbatore,7179.0,7443.0,8037.0,4640.0,3459.0,18081.0,2892.0,15569.0
87,2017,11,Tamil Nadu,Coimbatore,5194.0,6806.0,6973.0,5278.0,3371.0,15371.0,3764.0,16015.0
88,2016,11,Tamil Nadu,Tiruchirapalli Trichy,9231.0,3190.0,15037.0,7397.0,4907.0,17328.0,6146.0,28580.0
88,2017,11,Tamil Nadu,Tiruchirapalli Trichy,5848.0,4638.0,14988.0,6970.0,2538.0,13024.0,6347.0,28305.0
89,2016,11,Tamil Nadu,Thanjavur,15209.0,2860.0,24897.0,6229.0,3927.0,21996.0,8508.0,39634.0
89,2017,11,Tamil Nadu,Thanjavur,13407.0,4372.0,4428.0,8926.0,2392.0,20171.0,6790.0,20144.0
90,2016,11,Tamil Nadu,Madurai,5259.0,1573.0,7921.0,3194.0,3250.0,10082.0,2933.0,14048.0
90,2017,11,Tamil Nadu,Madurai,4642.0,1529.0,7811.0,2547.0,1627.0,7798.0,3080.0,13438.0
91,2016,11,Tamil Nadu,Ramananthapuram,1284.0,127.0,4551.0,283.0,990.0,2401.0,2593.0,7427.0
91,2017,11,Tamil Nadu,Ramananthapuram,1361.0,64.0,9932.0,286.0,883.0,2308.0,1281.0,11499.0
92,2016,11,Tamil Nadu,Thirunelveli,11435.0,2033.0,12041.0,2744.0,5151.0,18619.0,7674.0,22459.0
92,2017,11,Tamil Nadu,Thirunelveli,3531.0,1161.0,15658.0,3755.0,1251.0,5943.0,4820.0,24233.0
93,2016,11,Tamil Nadu,The Nilgiris,2583.0,1365.0,1882.0,1140.0,525.0,4473.0,226.0,3248.0
93,2017,11,Tamil Nadu,The Nilgiris,3010.0,1068.0,1838.0,832.0,499.0,4577.0,900.0,3570.0
94,2016,11,Tamil Nadu,Kanyakumari,3316.0,601.0,5475.0,1429.0,1681.0,5598.0,3559.0,10463.0
94,2017,11,Tamil Nadu,Kanyakumari,3587.0,708.0,6182.0,1735.0,702.0,4997.0,2965.0,10882.0
96,2016,7,Maharashtra,Thane,11204.0,272.0,3528.0,980.0,547.0,12023.0,1303.0,5811.0
96,2017,7,Maharashtra,Thane,4231.0,175.0,2140.0,528.0,195.0,4601.0,586.0,3254.0
97,2016,7,Maharashtra,Raigarh,8884.0,917.0,2034.0,712.0,1520.0,11321.0,937.0,3683.0
97,2017,7,Maharashtra,Raigarh,8097.0,450.0,858.0,769.0,809.0,9356.0,426.0,2053.0
98,2016,7,Maharashtra,Ratnagiri,5952.0,1266.0,269.0,189.0,1811.0,9029.0,473.0,931.0
98,2017,7,Maharashtra,Ratnagiri,6380.0,1127.0,110.0,90.0,1740.0,9247.0,32.0,232.0
99,2016,7,Maharashtra,Nasik,48601.0,9399.0,42310.0,13552.0,22152.0,80152.0,27356.0,83218.0
99,2017,7,Maharashtra,Nasik,53739.0,15047.0,46240.0,19165.0,29698.0,98484.0,34408.0,99813.0
100,2016,7,Maharashtra,Dhule,23608.0,7795.0,14117.0,4162.0,8424.0,39827.0,5960.0,24239.0
100,2017,7,Maharashtra,Dhule,26008.0,9956.0,11885.0,4671.0,10136.0,46100.0,6320.0,22876.0
101,2016,7,Maharashtra,Jalgaon,63587.0,35668.0,43359.0,23895.0,23294.0,122549.0,22647.0,89901.0
101,2017,7,Maharashtra,Jalgaon,64392.0,54243.0,32380.0,19915.0,28487.0,147122.0,19209.0,71504.0
102,2016,7,Maharashtra,Ahmednagar,43650.0,12006.0,55356.0,19520.0,20536.0,76192.0,33904.0,108780.0
102,2017,7,Maharashtra,Ahmednagar,50288.0,17515.0,54876.0,24368.0,27171.0,94974.0,39102.0,118346.0
103,2016,7,Maharashtra,Pune,42977.0,10566.0,52366.0,18856.0,16658.0,70201.0,25458.0,96680.0
103,2017,7,Maharashtra,Pune,44520.0,14635.0,52718.0,19821.0,19715.0,78870.0,28575.0,101114.0
104,2016,7,Maharashtra,Satara,23324.0,8074.0,28067.0,9641.0,12234.0,43632.0,12113.0,49821.0
104,2017,7,Maharashtra,Satara,23298.0,9231.0,25966.0,10695.0,11438.0,43967.0,14366.0,51027.0
105,2016,7,Maharashtra,Sangli,26709.0,12671.0,28998.0,13139.0,13287.0,52667.0,16017.0,58154.0
105,2017,7,Maharashtra,Sangli,24179.0,13219.0,30441.0,11459.0,13109.0,50507.0,14841.0,56741.0
106,2016,7,Maharashtra,Solapur,31586.0,6990.0,56121.0,19059.0,12903.0,51479.0,23370.0,98550.0
106,2017,7,Maharashtra,Solapur,44653.0,20828.0,57103.0,17515.0,23479.0,88960.0,25788.0,100406.0
107,2016,7,Maharashtra,Kolhapur,37362.0,13922.0,41250.0,18934.0,14208.0,65492.0,21800.0,81984.0
107,2017,7,Maharashtra,Kolhapur,31647.0,14214.0,39349.0,16366.0,11816.0,57677.0,19208.0,74923.0
108,2016,7,Maharashtra,Aurangabad,55868.0,13409.0,31599.0,12482.0,22264.0,91541.0,19399.0,63480.0
108,2017,7,Maharashtra,Aurangabad,61092.0,16388.0,19836.0,6145.0,24614.0,102094.0,11861.0,37842.0
109,2016,7,Maharashtra,Parbhani,21190.0,4899.0,11944.0,3539.0,10795.0,36884.0,8666.0,24149.0
109,2017,7,Maharashtra,Parbhani,21106.0,7373.0,12282.0,3325.0,14578.0,43057.0,9231.0,24838.0
110,2016,7,Maharashtra,Bid,21305.0,8347.0,25616.0,9072.0,15598.0,45250.0,18533.0,53221.0
110,2017,7,Maharashtra,Bid,37518.0,11464.0,22803.0,9661.0,23768.0,72750.0,17620.0,50084.0
111,2016,7,Maharashtra,Nanded,42619.0,11432.0,44090.0,13767.0,21288.0,75339.0,29314.0,87171.0
111,2017,7,Maharashtra,Nanded,52126.0,19679.0,23238.0,10363.0,32402.0,104207.0,24289.0,57890.0
112,2016,7,Maharashtra,Osmanabad,9224.0,2055.0,9721.0,2671.0,9584.0,20863.0,6057.0,18449.0
112,2017,7,Maharashtra,Osmanabad,12982.0,4472.0,12439.0,3644.0,11855.0,29309.0,8329.0,24412.0
113,2016,7,Maharashtra,Buldhana,32186.0,6432.0,21995.0,6165.0,17588.0,56206.0,19675.0,47835.0
113,2017,7,Maharashtra,Buldhana,32175.0,8340.0,14659.0,5316.0,20218.0,60733.0,17725.0,37700.0
