Dist Code,Year,State Code,State Name,Dist Name,RICE IRRIGATED AREA (1000 ha),WHEAT IRRIGATED AREA (1000 ha),KHARIF SORGHUM IRRIGATED AREA (1000 ha),RABI SORGHUM IRRIGATED AREA (1000 ha),SORGHUM IRRIGATED AREA (1000 ha),PEARL MILLET IRRIGATED AREA (1000 ha),MAIZE IRRIGATED AREA (1000 ha),FINGER MILLET IRRIGATED AREA (1000 ha),BARLEY IRRIGATED AREA (1000 ha),CHICKPEA IRRIGATED AREA (1000 ha),PIGEONPEA IRRIGATED AREA (1000 ha),MINOR PULSES IRRIGATED AREA (1000 ha),PULSES IRRIGATED AREA (1000 ha),GROUNDNUT IRRIGATED AREA (1000 ha),SESAMUM IRRIGATED AREA (1000 ha),LINSEED IRRIGATED AREA (1000 ha),SUGARCANE IRRIGATED AREA (1000 ha),COTTON IRRIGATED AREA (1000 ha),FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha),FODDER IRRIGATED AREA (1000 ha)
1,2016,14,Chhattisgarh,Durg,92.02,6.1,0.01,0.0,0.02,0.0,0.18,0.0,0.0,7.55,0.01,0.24,7.8,11.722834033779968,0.01,0.04687606462978414,0.41,0.02,9.88,0.026
1,2017,14,Chhattisgarh,Durg,81.806,6.292,0.001,0.0,0.001,0.005,0.391,0.0,0.0,12.571,0.019,0.415,13.005,0.0,0.015,0.033,0.319,0.049,8.509,0.014
2,2016,14,Chhattisgarh,Bastar,2.06,0.25,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.05,0.0,0.12,0.17,0.0,0.0,0.01,0.76,0.0,2.11,0.0
2,2017,14,Chhattisgarh,Bastar,2.023,0.435,0.0,0.0,0.0,0.0,1.769,0.0,0.0,0.106,0.0,0.207,0.313,0.0,0.0,0.002,0.613,0.0,2.156,0.0
3,2016,14,Chhattisgarh,Raipur,148.88,2.72,0.0,0.0,0.0,0.0,0.28,0.0,0.0,1.68,0.0,0.22,1.9,0.05,0.04,0.0,0.18,0.01,3.9,0.04
3,2017,14,Chhattisgarh,Raipur,131.62,3.901,0.0,0.0,0.0,0.0,0.32,0.0,0.0,2.568,0.022,0.355,2.945,0.046,0.063,0.03,0.168,0.013,3.985,0.013
4,2016,14,Chhattisgarh,Bilaspur,90.56,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.32,1.23,0.0,0.01,0.03,0.05,0.0,3.31,0.0
4,2017,14,Chhattisgarh,Bilaspur,94.252,5.584,0.0,0.0,0.0,0.0,0.007,0.0,0.0,1.273,0.009,0.186,1.468,0.004,0.0,0.01,0.063,0.0,2.844,0.0
5,2016,14,Chhattisgarh,Raigarh,55.7,2.77,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.0,2.28,2.43,2.37,0.01,0.0,0.44,0.0,5.06,0.0
5,2017,14,Chhattisgarh,Raigarh,48.777,2.991,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.084,0.0,1.126,1.21,1.778,0.01,0.0,0.328,0.0,4.176,0.0
6,2016,14,Chhattisgarh,Surguja,4.92,4.75,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,2.03,0.0,5.07,0.0
6,2017,14,Chhattisgarh,Surguja,5.654,4.975,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.97,0.0,5.275,0.0
7,2016,6,Madhya Pradesh,Jabalpur,35.06,125.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.24,0.0,36.18,69.42,0.0,0.0,0.0,2.83,0.0,10.45,0.333
7,2017,6,Madhya Pradesh,Jabalpur,54.33,135.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.74,0.02,36.46,78.22,0.0,0.0,0.0,3.38,0.0,11.3,0.362
8,2016,6,Madhya Pradesh,Balaghat,159.27,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.68,2.04,0.39,0.0,0.0,1.77,0.0,2.27,0.182
8,2017,6,Madhya Pradesh,Balaghat,150.87,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.54,3.23,0.34,0.0,0.0,2.36,0.0,2.24,0.154
9,2016,6,Madhya Pradesh,Chhindwara,0.15,136.87,0.0,0.0,0.0,0.0,0.04,0.0,0.0,21.97,0.67,6.53,29.16,0.52,0.0,0.03,7.94,3.71,31.04,0.265
9,2017,6,Madhya Pradesh,Chhindwara,0.21,167.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.48,0.69,5.93,29.1,0.28,0.0,0.07,7.14,4.64,27.55,0.121
10,2016,6,Madhya Pradesh,Narsinghpur,28.54,101.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.34,0.0,36.86,102.2,0.0,0.0,0.0,58.06,0.0,5.79,0.694
10,2017,6,Madhya Pradesh,Narsinghpur,27.63,95.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.86,0.0,25.37,109.23,0.0,0.0,0.0,58.68,0.0,4.29,0.72
11,2016,6,Madhya Pradesh,Seoni,46.02,126.76,0.0,0.0,0.0,0.0,0.28,0.0,0.0,14.79,0.0,4.11,18.9,0.19,0.0,0.08,0.92,0.0,5.72,0.012
11,2017,6,Madhya Pradesh,Seoni,39.02,143.98,0.0,0.0,0.0,0.0,0.35,0.0,0.0,15.57,0.0,4.22,19.78,0.02,0.1,0.02,0.88,0.0,4.93,0.009
12,2016,6,Madhya Pradesh,Mandla,19.99,25.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.08,0.42,0.0,0.0,0.02,3.02,0.0,1.86,0.008
12,2017,6,Madhya Pradesh,Mandla,23.59,26.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.1,0.51,0.0,0.0,0.01,2.81,0.0,1.71,0.009
13,2016,6,Madhya Pradesh,Sagar,0.0,218.84,0.0,0.0,0.0,0.0,0.0,0.0,1.76,86.63,0.0,27.78,114.42,0.0,0.0,0.18,0.42,0.0,12.16,0.0
13,2017,6,Madhya Pradesh,Sagar,0.0,230.22,0.01,0.0,0.01,0.0,0.0,0.0,0.76,108.34,0.0,42.7,151.05,0.0,0.0,0.16,0.29,0.0,8.88,0.0
14,2016,6,Madhya Pradesh,Damoh,3.73,82.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.69,0.0,24.11,109.8,0.0,0.0,0.0,0.24,0.0,3.41,0.0
14,2017,6,Madhya Pradesh,Damoh,3.77,98.79,0.0,0.0,0.0,0.0,0.0,0.0,0.01,97.58,0.0,2.43,100.0,0.0,0.0,0.0,0.04,0.0,0.8,0.0
15,2016,6,Madhya Pradesh,Tikamgarh,0.0,161.59,0.0,0.0,0.0,0.0,0.0,0.0,13.25,7.83,0.0,10.09,17.92,18.42,0.0,0.0,0.3,0.0,11.65,1.747
15,2017,6,Madhya Pradesh,Tikamgarh,0.0,97.35,0.0,0.0,0.0,0.0,0.0,0.0,6.15,7.32,0.0,4.87,12.19,14.91,0.0,0.02,0.14,0.0,4.73,0.434
16,2016,6,Madhya Pradesh,Chhatarpur,0.02,179.3,0.0,0.0,0.0,0.0,0.0,0.0,18.67,29.51,0.0,10.01,39.51,0.01,0.0,0.22,0.19,0.0,5.66,0.389
16,2017,6,Madhya Pradesh,Chhatarpur,0.0,173.07,0.0,0.0,0.0,0.0,0.0,0.0,12.31,35.78,0.0,10.88,46.66,0.01,0.0,5.53,0.09,0.0,4.47,6.873
17,2016,6,Madhya Pradesh,Panna,11.84,60.77,0.0,0.0,0.01,0.0,0.0,0.0,1.32,33.91,0.0,12.36,46.26,0.0,0.0,0.0,0.22,0.0,3.91,0.0
17,2017,6,Madhya Pradesh,Panna,13.53,65.86,0.0,0.0,0.0,0.0,0.0,0.0,1.09,45.81,0.13,10.95,56.89,0.0,0.0,0.03,0.08,0.0,2.1,0.0
18,2016,6,Madhya Pradesh,Rewa,45.82,111.52,0.0,0.0,0.0,0.0,0.0,0.0,0.51,5.04,0.0,0.59,5.63,0.0,0.0,0.01,0.03,0.0,7.7,0.093
18,2017,6,Madhya Pradesh,Rewa,58.01,125.02,0.0,0.0,0.0,0.0,0.0,0.0,0.62,6.17,0.0,0.75,6.92,0.0,0.0,0.39,0.04,0.0,7.37,0.131
19,2016,6,Madhya Pradesh,Sidhi,25.46,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.62,0.0,0.21,0.83,0.0,0.0,0.0,0.0,0.0,1.73,0.0
19,2017,6,Madhya Pradesh,Sidhi,29.78,46.76,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.63,0.0,0.18,0.81,0.0,0.0,0.0,0.0,0.0,1.79,0.0
20,2016,6,Madhya Pradesh,Satna,27.01,133.34,0.0,0.0,0.0,0.0,0.0,0.0,3.97,24.59,0.0,2.29,26.87,0.0,0.0,0.01,0.19,0.0,11.78,0.012
20,2017,6,Madhya Pradesh,Satna,46.89,164.14,0.0,0.0,0.0,0.0,0.0,0.0,3.74,19.46,0.03,1.88,21.36,0.02,0.02,0.01,0.22,0.0,2.35,0.013
21,2016,6,Madhya Pradesh,Shahdol,0.0,27.21,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.66,0.0,0.33,1.98,0.0,0.0,0.03,0.01,0.0,2.36,0.0
21,2017,6,Madhya Pradesh,Shahdol,0.0,27.22,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.56,0.0,0.34,1.9,0.0,0.0,0.07,0.05,0.0,2.16,0.0
22,2016,6,Madhya Pradesh,Gwalior,58.81,114.67,0.0,0.0,0.0,0.0,0.01,0.0,0.68,1.99,0.0,2.34,4.33,0.0,0.0,0.0,1.18,0.0,3.35,2.73
22,2017,6,Madhya Pradesh,Gwalior,30.19,91.42,0.93,0.0,0.93,0.0,0.0,0.0,0.61,5.24,0.0,4.4,9.63,0.0,0.0,0.0,2.25,0.0,3.11,3.247
23,2016,6,Madhya Pradesh,Shivpuri,12.56,187.13,0.0,0.0,0.0,0.0,0.0,0.0,2.87,50.03,0.0,4.73,54.76,0.0,0.0,0.02,0.88,0.0,7.24,2.464
23,2017,6,Madhya Pradesh,Shivpuri,10.12,180.64,0.0,0.0,0.0,0.0,0.0,0.0,2.78,76.34,0.0,4.25,80.59,0.0,0.0,0.0,0.72,0.0,6.51,1.286
24,2016,6,Madhya Pradesh,Guna,0.29,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,60.45,0.0,1.22,61.67,0.0,0.0,0.0,0.49,0.0,1.31,0.0
24,2017,6,Madhya Pradesh,Guna,0.35,87.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.12,0.0,1.42,162.54,0.0,0.0,0.0,0.58,0.0,1.55,0.17
25,2016,6,Madhya Pradesh,Datia,15.35,143.66,0.0,0.0,0.0,0.0,0.0,0.0,4.19,7.46,0.0,18.7,26.16,0.1,0.0,0.0,5.71,0.0,2.08,1.753
25,2017,6,Madhya Pradesh,Datia,15.2,148.51,0.0,0.0,0.0,0.0,0.0,0.0,3.76,10.44,0.0,14.72,25.16,0.21,0.0,0.0,6.62,0.0,2.03,1.494
26,2016,6,Madhya Pradesh,Morena,1.05,119.74,0.02,0.0,0.02,0.0,0.0,0.0,1.85,3.43,4.93,0.57,8.92,0.0,0.0,0.0,0.37,0.0,5.56,1.689
26,2017,6,Madhya Pradesh,Morena,2.01,118.66,0.0,0.0,0.0,0.04,0.0,0.0,1.09,3.62,3.88,0.47,7.97,0.0,0.01,0.01,0.18,0.0,4.84,1.061
27,2016,6,Madhya Pradesh,Bhind,7.0,125.8,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.88,0.0,7.2,8.07,0.0,0.0,0.0,0.02,0.0,2.03,2.951
27,2017,6,Madhya Pradesh,Bhind,6.53,113.94,0.01,0.0,0.01,0.09,0.0,0.0,3.43,0.99,0.0,3.88,4.86,0.0,0.0,0.0,0.01,0.0,1.65,2.2
28,2016,6,Madhya Pradesh,Indore,0.0,120.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.24,0.0,0.95,59.18,0.0,0.0,0.0,0.04,0.01,27.88,1.578
28,2017,6,Madhya Pradesh,Indore,0.0,141.73,0.0,0.01,0.01,0.0,0.01,0.0,0.0,44.09,0.0,0.95,45.05,0.0,0.0,0.0,0.03,0.0,29.43,0.95
29,2016,6,Madhya Pradesh,Ratlam,0.0,119.24,0.0,0.0,0.0,0.0,0.52,0.0,0.03,36.93,0.0,4.22,41.14,0.0,0.0,2.05,0.01,1.77,7.13,2.061
29,2017,6,Madhya Pradesh,Ratlam,0.0,127.25,0.0,0.0,0.0,0.0,0.31,0.0,0.03,50.06,0.0,4.74,54.8,0.0,0.0,2.91,0.01,0.77,9.26,1.759
30,2016,6,Madhya Pradesh,Ujjain,0.0,271.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.04,0.0,1.8,73.83,0.0,0.0,0.03,0.03,0.0,27.73,2.775
30,2017,6,Madhya Pradesh,Ujjain,0.0,241.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,122.12,0.0,3.75,125.87,0.0,0.0,0.11,0.02,0.0,31.04,2.066
31,2016,6,Madhya Pradesh,Mandsaur,0.0,101.81,0.0,0.0,0.0,0.0,0.0,0.0,0.25,12.05,0.0,8.0,20.05,0.0,0.0,4.74,0.0,0.26,9.86,2.308
31,2017,6,Madhya Pradesh,Mandsaur,0.0,111.36,0.0,0.0,0.0,0.0,0.0,0.0,0.28,25.9,0.0,8.1,34.0,0.0,0.0,8.32,0.01,0.23,10.0,2.235
32,2016,6,Madhya Pradesh,Dewas,0.0,205.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.23,0.0,1.22,78.45,0.0,0.0,0.0,0.15,2.19,27.7,1.529
32,2017,6,Madhya Pradesh,Dewas,0.0,146.79,0.0,0.0,0.0,0.0,0.0,0.0,0.22,219.34,0.0,1.75,221.09,0.0,0.0,0.0,0.21,2.62,14.94,0.182
33,2016,6,Madhya Pradesh,Dhar,0.0,241.61,0.0,0.04,0.04,0.0,7.68,0.0,0.0,51.49,0.06,1.33,52.89,0.0,0.0,0.02,2.57,66.8,19.12,1.878
33,2017,6,Madhya Pradesh,Dhar,0.0,183.58,0.0,0.0,0.0,0.0,3.99,0.0,0.01,128.12,0.05,1.28,129.46,0.02,0.02,0.0,2.53,69.66,19.17,2.59
34,2016,6,Madhya Pradesh,Jhabua,0.0,41.3,0.0,0.0,0.0,0.0,5.87,0.0,0.09,7.89,0.0,0.1,7.99,0.0,0.0,0.0,0.02,4.5,3.39,0.156
34,2017,6,Madhya Pradesh,Jhabua,0.0,55.68,0.0,0.0,0.0,0.0,6.71,0.0,0.02,9.4,0.0,0.08,9.48,0.0,0.0,0.0,0.01,5.05,2.74,0.184
35,2016,6,Madhya Pradesh,Khargone,0.0,141.31,0.0,0.0,0.0,0.0,5.3,0.0,0.0,32.32,1.06,0.14,33.52,0.62,0.0,0.0,2.16,165.65,7.9,1.899
35,2017,6,Madhya Pradesh,Khargone,0.0,158.29,0.0,0.01,0.01,0.0,4.74,0.0,0.0,118.95,0.84,0.08,119.86,0.3,0.01,0.01,2.92,173.87,7.72,0.647
36,2016,6,Madhya Pradesh,Khandwa,0.0,116.62,0.0,0.0,0.0,0.0,4.43,0.0,0.0,17.03,2.2,2.49,21.72,0.0,0.0,0.05,0.36,33.85,16.76,0.033
36,2017,6,Madhya Pradesh,Khandwa,0.0,122.8,0.0,0.01,0.01,0.0,3.96,0.0,0.0,43.78,2.51,1.38,47.67,0.0,0.0,0.03,0.46,24.42,12.58,0.029
37,2016,6,Madhya Pradesh,Sehore,28.13,257.94,0.0,0.0,0.0,0.0,0.0,0.0,0.01,62.55,0.0,38.03,100.58,0.0,0.0,0.02,1.23,0.0,9.14,2.743
37,2017,6,Madhya Pradesh,Sehore,31.7,246.18,0.0,0.0,0.0,0.0,0.0,0.0,0.03,77.7,0.0,41.74,119.44,0.0,0.0,0.01,0.95,0.0,8.08,3.402
38,2016,6,Madhya Pradesh,Raisen,108.78,227.14,0.0,0.0,0.0,0.0,0.0,0.0,0.03,72.66,0.0,7.18,79.83,0.0,0.0,0.0,0.82,0.0,4.25,0.396
38,2017,6,Madhya Pradesh,Raisen,126.74,216.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,96.2,0.0,6.88,103.09,0.0,0.0,0.0,1.2,0.0,3.54,0.428
39,2016,6,Madhya Pradesh,Vidisha,0.08,282.05,0.0,0.0,0.0,0.0,0.0,0.0,0.15,102.44,0.0,31.01,133.45,0.0,0.0,0.0,0.16,0.0,6.04,0.299
39,2017,6,Madhya Pradesh,Vidisha,0.25,229.3,0.0,0.0,0.0,0.0,0.0,0.0,0.11,180.55,0.0,36.96,217.51,0.0,0.0,0.0,0.05,0.0,4.19,0.469
40,2016,6,Madhya Pradesh,Betul,12.7,138.86,0.0,0.0,0.0,0.0,0.28,0.0,0.0,13.94,0.0,4.72,18.66,0.0,0.0,0.01,12.83,0.39,7.47,0.008
40,2017,6,Madhya Pradesh,Betul,13.44,153.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99,0.0,4.29,18.27,0.0,0.01,0.01,13.81,0.03,2.94,0.076
41,2016,6,Madhya Pradesh,Rajgarh,0.0,202.42,0.0,0.0,0.0,0.0,0.0,0.0,0.12,56.26,0.0,28.67,84.93,0.0,0.0,0.0,0.01,0.0,8.96,2.752
41,2017,6,Madhya Pradesh,Rajgarh,0.0,186.63,0.0,0.0,0.0,0.0,0.0,0.0,0.13,73.31,0.0,42.0,115.31,0.0,0.0,0.01,0.01,0.0,10.51,1.972
42,2016,6,Madhya Pradesh,Shajapur,0.0,134.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,25.31,0.0,20.4,45.71,0.0,0.0,0.0,0.04,0.0,20.97,1.637
42,2017,6,Madhya Pradesh,Shajapur,0.0,111.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.85,0.0,28.59,73.44,0.0,0.0,0.0,0.03,0.0,20.63,1.323
43,2016,6,Madhya Pradesh,Hoshangabad,101.12,277.68,0.0,0.02,0.02,0.0,0.0,0.0,0.01,12.36,0.01,64.17,76.53,0.0,0.01,0.01,3.32,0.0,3.93,0.605
43,2017,6,Madhya Pradesh,Hoshangabad,103.94,269.5,0.0,0.0,0.0,0.0,0.08,0.0,0.0,31.6,0.0,85.3,116.91,0.0,0.03,0.0,4.15,0.0,2.84,0.366
44,2016,1,Andhra Pradesh,Srikakulam,179.02,103.5285444566669,0.1111599838067184,0.01,0.01,1.9262954618610135,6.57,0.71,0.838791517309739,6.609493929711032,0.0,0.04460219806688853,0.0,3.97,0.186069185240257,0.04687606462978414,9.73,3.106992256667674,6.91,3.456050940844997
44,2017,1,Andhra Pradesh,Srikakulam,185.86,0.0,0.0,0.0,0.0,0.0,21.81,3.91,0.0,0.0,0.0,0.0,0.0,5.37,0.0,0.0,10.5,0.0,6.28,0.0
45,2016,1,Andhra Pradesh,Visakhapatnam,88.8,91.68799512559704,0.12536551594918838,0.39002598815002426,0.5950344304881086,0.4918624007905441,1.29,0.22,0.838791517309739,6.167536805820945,0.28730642458832245,3.061038063512704,9.69747390835456,0.63,0.01,0.028089477587975725,41.0,2.550302010345655,8.63,0.755
45,2017,1,Andhra Pradesh,Visakhapatnam,89.12,0.0,0.0,0.0,0.0,0.0,1.34,0.29,0.0,0.0,0.0,0.0,0.0,0.61,0.44,0.0,45.25,0.0,8.06,1.18
46,2016,1,Andhra Pradesh,East Godavari,372.49,227.63261253774948,0.1111599838067184,0.08,0.08,4.120513885702053,9.69,0.0077032764855216596,0.838791517309739,6.609493929711032,1.6990798777341278,0.17,0.17,0.13,0.06,0.04687606462978414,19.63,0.08,37.18,0.339
46,2017,1,Andhra Pradesh,East Godavari,375.58,0.0,0.0,0.04,0.04,0.0,11.26,0.0,0.0,0.12,0.0,0.01,0.13,0.06,0.08,0.0,19.6,0.02,34.28,0.427
47,2016,1,Andhra Pradesh,West Godavari,398.3,211.1127891694859,0.023339448749275384,0.0,0.0,1.9262954618610135,58.29,0.07393441412150442,0.838791517309739,6.609493929711032,0.06,7.42,7.47,4.08,0.26,0.04687606462978414,17.55,0.7,27.18,0.669
47,2017,1,Andhra Pradesh,West Godavari,392.44,0.01,0.0,0.0,0.0,0.0,59.43,0.0,0.0,0.02,0.05,11.66,11.73,2.55,0.27,0.0,17.63,0.6,27.9,0.847
48,2016,1,Andhra Pradesh,Krishna,231.41,137.0809769326066,0.1111599838067184,0.01,0.01,0.3179314359550114,16.99,0.183013077245408,0.838791517309739,6.609493929711032,1.3775307030967823,0.18,0.18,0.28,0.07,0.04687606462978414,20.75,7.768769785526741,16.6,1.338
48,2017,1,Andhra Pradesh,Krishna,258.73,0.0,0.01,0.52,0.54,0.0,25.66,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,23.26,0.11,25.12,1.459
49,2016,1,Andhra Pradesh,Guntur,175.94,85.20740634608852,1.125958268589971,8.28,8.28,2.7675091913086116,35.04,0.25063305126486257,0.838791517309739,4.3181506975144845,11.44,2.6801702428937304,11.44,3.38,1.0729295655337667,0.04687606462978414,0.46,59.19,22.23,0.261
49,2017,1,Andhra Pradesh,Guntur,202.49,0.0,0.0,33.85,33.85,0.0,58.1,0.3,0.0,0.0,0.83,20.21,21.04,3.87,0.0,0.0,0.32,53.51,23.57,0.791
50,2016,1,Andhra Pradesh,S.P.S.Nellore,204.01,122.68827342706032,0.1111599838067184,0.43,0.43,1.14,0.92,0.18,0.838791517309739,6.609493929711032,0.9837507928660955,0.15,0.15,15.56,0.3452035988753214,0.04687606462978414,2.07,7.46,26.24,0.148
50,2017,1,Andhra Pradesh,S.P.S.Nellore,224.34,0.0,0.0,0.26,0.26,1.27,0.85,0.1,0.0,0.0,0.0,0.0,0.0,12.06,0.0,0.0,1.65,4.71,25.25,0.277
51,2016,1,Andhra Pradesh,Kurnool,107.49,65.64438833096635,1.88,15.13,17.01,0.16,18.33,0.33585243566870454,0.9478158264891092,9.52,3.88,20.0,33.4,18.62,0.19,0.020141076664190675,0.5,16.32,39.61,0.022
51,2017,1,Andhra Pradesh,Kurnool,100.65,0.0,0.38,15.59,15.96,0.18,27.71,0.0,0.0,14.41,1.59,9.18,25.18,15.22,0.93,0.0,0.66,11.45,30.1,0.005
52,2016,1,Andhra Pradesh,Anantapur,22.88,59.322548192186744,0.09,0.99,1.09,1.43,7.66,2.05,1.5410452776778454,0.37,0.04,0.11,0.51,31.63,0.6159236032659805,0.0629384592744774,0.21,3.19,73.03,0.433
52,2017,1,Andhra Pradesh,Anantapur,30.89,0.01,0.7,1.61,2.31,2.1,9.82,1.92,0.0,0.64,0.03,0.2,0.87,32.72,0.0,0.0,0.12,2.76,76.26,0.223
53,2016,1,Andhra Pradesh,Kadapa YSR,50.33,0.0,0.21,2.07,2.28,3.73,2.66,0.15,0.5374715203015831,0.66,0.07,1.47,2.2,18.67,4.15,0.22,0.35,3.85,59.08,0.834
53,2017,1,Andhra Pradesh,Kadapa YSR,54.98,0.01,0.21,1.47,1.68,5.36,3.27,0.17,0.0,0.21,0.11,1.05,1.37,23.14,2.87,0.22,0.46,4.36,69.76,0.705
54,2016,1,Andhra Pradesh,Chittoor,46.68,86.35189043788507,0.20610674782826024,0.2696880195101595,0.30889818418362397,1.4,1.67,1.22,1.8104994358405637,0.0,0.05,2.29,2.34,21.25,0.64,0.04965414067625121,35.37,0.76,53.6,6.647
54,2017,1,Andhra Pradesh,Chittoor,64.77,0.0,0.01,0.02,0.03,0.93,1.8,1.62,0.0,0.0,0.04,1.7,1.74,20.41,0.37,0.01,35.36,0.5,58.0,7.695
55,2016,20,Telangana,Hyderabad,47.01976313276025,56.65204497035457,0.1080683886329922,0.3799574237125202,0.5046674108329201,1.9073150785567023,4.132510983763142,0.3079757120833313,0.8094260103953461,6.529436567757514,0.5356575902319936,3.2896311705700487,10.19107673706325,5.3981987760765175,0.2209658499351308,0.045850834082436766,7.5041996686820935,7.726752834214871,8.112705826170007,3.0313528880499003
55,2017,20,Telangana,Hyderabad,47.01976313276025,56.65204497035457,0.1080683886329922,0.3799574237125202,0.5046674108329201,1.9073150785567023,4.132510983763142,0.3079757120833313,0.8094260103953461,6.529436567757514,0.5356575902319936,3.2896311705700487,10.19107673706325,5.3981987760765175,0.2209658499351308,0.045850834082436766,7.5041996686820935,7.726752834214871,8.112705826170007,3.0313528880499003
56,2016,20,Telangana,Nizamabad,186.02,0.12,0.07484863550146473,0.13,0.13,9.37,24.1,0.5191489616645917,0.1642211556659121,0.9834994442286771,0.024,0.663,0.687,0.343,3.225,0.04687606462978414,0.604,14.518061432192303,5.753,19.569
56,2017,20,Telangana,Nizamabad,173.28,0.08,0.0,0.05,0.05,4.75,26.34,0.0,0.0,0.162,0.0,0.371,0.533,0.221,3.853,0.0,0.632,0.0,5.272,19.757
57,2016,20,Telangana,Medak,77.22,0.25,0.10290480024707177,0.5,0.5,0.0,9.93,0.47920487043546245,0.838791517309739,6.609493929711032,0.001,0.069,0.07,0.309,0.011,0.04687606462978414,1.799,7.768769785526741,5.367,0.024
57,2017,20,Telangana,Medak,77.54,0.19,0.0,0.47,0.47,0.0,5.99,0.0,0.0,0.0,0.0,0.02,0.02,0.118,0.003,0.0,2.623,0.0,5.207,0.005
58,2016,20,Telangana,Mahabubnagar,52.12,41.00226205583956,0.07956175909162423,0.11,0.11,3.9975445674990766,0.42,0.233,0.39902442798004584,0.005,0.0676051488300195,0.076,0.081,14.864,0.17866415979242592,0.037059019068931776,0.993,0.002,12.124,0.813
58,2017,20,Telangana,Mahabubnagar,58.77,0.0,0.0,0.04,0.04,0.0,0.18,0.244,0.0,0.004,0.0,0.017,0.021,18.934,0.199,0.0,0.952,0.0,12.274,0.983
59,2016,20,Telangana,Nalgonda,137.55,0.0,0.1111599838067184,0.5220585347257959,0.43690118701066294,7.073939756068257,0.2,0.5219544627208708,0.838791517309739,6.609493929711032,2.125596604172701,0.817,0.817,4.764,0.098,0.04687606462978414,0.756,1.359,36.306,0.093
59,2017,20,Telangana,Nalgonda,160.74,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.303,0.303,4.965,0.0,0.0,0.517,0.0,30.219,0.129
60,2016,20,Telangana,Warangal,56.85,63.32637055625325,0.10124836491323413,0.02,0.02,1.4771282807205495,23.64,0.2697283460024469,0.9146167109728841,0.092,0.002,0.361,0.455,4.48,0.077,0.02209316324445243,11.614841380134923,43.124,8.254,6.329131558862044
60,2017,20,Telangana,Warangal,54.0,0.0,0.0,0.0,0.0,0.0,24.24,0.0,0.0,0.588,0.003,0.372,0.963,4.204,0.012,0.0,0.002,50.631,9.593,0.0
61,2016,20,Telangana,Khammam,66.86,54.3924918509504,0.05888607130632269,0.01,0.01,0.30689974831844336,10.35,0.32297241442819336,0.0917852582014903,0.017,0.011,1.638,1.666,2.563,0.006,0.027599358959346856,8.257,7.461,4.576,0.25
61,2017,20,Telangana,Khammam,104.13,0.0,0.0,0.13,0.13,0.0,27.16,0.0,0.0,0.007,0.013,1.079,1.099,1.73,0.002,0.0,7.62,10.2,4.687,0.115
62,2016,20,Telangana,Karimnagar,94.98,58.60648403062737,0.41924535328749096,1.9536051736796867,2.4282243295074637,1.9262954618610135,25.55,0.31840831484293813,0.838791517309739,6.609493929711032,0.01,0.388,0.398,2.331,0.005,0.0026051550460474276,16.581645377682243,15.906,5.861,2.7502912886324618
62,2017,20,Telangana,Karimnagar,101.89,0.0,0.0,0.0,0.0,0.0,14.48,0.0,0.0,0.008,0.007,0.132,0.147,1.834,0.009,0.0,0.0,18.922,4.052,0.0
